date      <=_0   Lo_30  Med_40   Hi_30   Lo_20   Qnt_2   Qnt_3   Qnt_4   Hi_20   Lo_10   Dec_2   Dec_3   Dec_4   Dec_5   Dec_6   Dec_7   Dec_8   Dec_9   Hi_10
197001  -11.00   -8.02   -8.94   -4.55   -8.33   -8.08   -7.84   -7.11   -3.98   -8.24   -8.50   -7.21   -9.33   -6.94   -8.88  -10.55   -5.15   -4.51   -3.65
197002    3.58    4.37    6.72    6.91    3.22    6.87    6.43    6.60    7.80    2.43    4.72    7.36    6.13    5.69    7.29    7.81    5.95    8.50    7.37
197003   -6.09   -2.56    0.51    2.73   -2.60   -1.74    1.00    1.73    3.11   -2.63   -2.54   -2.45   -0.69    1.43    0.50    0.67    2.32    2.02    3.79
197004  -22.49  -11.55   -9.71   -7.05  -11.78  -11.54   -8.70   -7.90   -6.93  -12.44  -10.55  -10.98  -12.37   -8.99   -8.36   -9.23   -7.18   -8.14   -6.19
197005  -11.95   -8.72   -5.64   -3.23   -9.00   -7.73   -5.95   -2.37   -4.66   -8.14  -10.56   -8.05   -7.24   -7.18   -4.52   -3.71   -1.66   -5.17   -4.35
197006  -10.05   -6.63   -2.78   -5.43   -7.74   -3.98   -0.88   -5.53   -5.16   -9.48   -4.43   -3.93   -4.05   -1.03   -0.71   -5.16   -5.73   -5.33   -5.05
197007    4.73    4.57    9.88    9.13    3.98    8.70    8.63   10.88    7.08    2.85    5.21    6.95   10.16    8.30    9.02   11.09   10.67    7.26    6.78
197008    7.85    4.41    4.24    6.91    4.53    3.18    5.71    5.86    5.76    5.60    3.40    3.92    2.58    5.57    5.87    3.86    7.74    6.52    4.52
197009   18.84    7.03    1.98    1.95    7.62    3.95    2.49    0.68    3.34    9.32    5.78    4.71    3.33    1.92    3.14    0.37    0.96    2.12    5.36
197010   -9.36   -0.82   -2.08   -1.37   -0.48   -1.89   -2.15   -1.14   -3.19   -0.56   -0.40   -2.21   -1.62   -3.10   -1.09   -2.37   -0.04   -2.35   -4.55
197011    1.39    4.85    4.78    6.96    4.66    4.42    5.10    6.39    6.62    4.06    5.33    5.66    3.40    4.36    5.91    5.49    7.20    7.95    4.45
197012    4.18    5.19    7.38    6.56    4.97    7.24    7.21    6.40    7.48    4.15    5.89    6.09    8.22    8.54    5.77    6.94    5.92    7.61    7.25
197101   13.06    4.99    5.45    3.11    4.65    5.60    4.85    3.37    6.70    5.26    3.97    6.39    4.93    5.09    4.58    6.57    0.56    6.00    7.89
197102    3.53    2.35    0.71    1.71    2.30    2.86    1.33    0.08    1.46    2.85    1.69    2.57    3.10    0.58    2.17   -1.87    1.90    1.00    2.24
197103    8.43    5.85    3.04    2.94    5.95    4.68    4.11    2.33    2.10    6.89    4.89    5.49    4.01    4.56    3.62    0.96    3.57    1.79    2.60
197104    3.87    3.85    3.10    3.57    3.67    4.35    3.05    2.94    3.60    3.14    4.27    4.56    4.16    1.92    4.30    2.25    3.55    2.63    5.18
197105   -5.59   -2.74   -4.17   -4.18   -2.67   -3.49   -3.57   -4.72   -3.97   -3.72   -1.48   -3.04   -3.88   -2.63   -4.59   -5.16   -4.34   -4.00   -3.94
197106   -2.14    0.95    0.63   -0.74    0.87    1.14    0.16   -0.23   -0.14    1.60    0.06    1.27    1.03   -1.27    1.74    0.87   -1.19    1.44   -2.70
197107   -9.09   -4.74   -3.41   -2.80   -5.80   -2.84   -3.80   -3.01   -2.63   -5.66   -5.89   -2.21   -3.46   -6.06   -1.64   -2.92   -3.11   -2.60   -2.71
